iter	Passed	Remaining
0	145	15818
1	234	12665
2	312	11158
3	461	12229
4	514	10805
5	642	11134
6	732	10780
7	828	10558
8	894	10033
9	1007	10071
10	1066	9599
11	1100	8983
12	1294	9661
13	1389	9525
14	1422	9007
15	1483	8717
16	1572	8601
17	1648	8424
18	1704	8162
19	1784	8030
20	1842	7806
21	1889	7558
22	1937	7327
23	1980	7098
24	2046	6958
25	2203	7118
26	2390	7347
27	2521	7384
28	2601	7264
29	2730	7280
30	2833	7219
31	2869	6995
32	2908	6786
33	3016	6743
34	3118	6682
35	3225	6630
36	3288	6487
37	3528	6684
38	3811	6938
39	4218	7382
40	4373	7360
41	4424	7162
42	4461	6950
43	4495	6743
44	4539	6557
45	4689	6524
46	4988	6687
47	5188	6701
48	5507	6855
49	5565	6679
50	5609	6489
51	5652	6304
52	5681	6110
53	5739	5952
54	5786	5786
55	5913	5701
56	5965	5546
57	6005	5384
58	6119	5290
59	6251	5209
60	6286	5049
61	6335	4904
62	6373	4754
63	6418	4613
64	6498	4499
65	6561	4374
66	6592	4230
67	6636	4098
68	6684	3972
69	6728	3844
70	6781	3724
71	6826	3602
72	6865	3479
73	6907	3360
74	6996	3264
75	7056	3156
76	7139	3059
77	7192	2950
78	7239	2840
79	7281	2730
80	7320	2620
81	7379	2519
82	7508	2442
83	7555	2338
84	7609	2238
85	7656	2136
86	7693	2033
87	7739	1934
88	7841	1850
89	7916	1759
90	7973	1664
91	8004	1566
92	8076	1476
93	8113	1381
94	8150	1286
95	8194	1194
96	8228	1102
97	8323	1019
98	8365	929
99	8424	842
100	8465	754
101	8505	667
102	8537	580
103	8589	495
104	8615	410
105	8643	326
106	8672	243
107	8699	161
108	8732	80
109	8760	0
